"names";"parana";"santa catarina";"sao paulo";"rio de janeiro";"goias";"pernambuco";"rio grande do sul";"minas gerais";"rio grande do norte";"maranhao";"paraiba";"amazonas";"federal district";"mato grosso";"bahia";"ceara";"espirito santo";"para";"mato grosso do sul";"tocantins";"piaui";"acre";"alagoas";"sergipe";"rondonia";"roraima";"amapa"
"parana";"7";"3";"5";"3";"0";"1";"2";"2";"1";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"santa catarina";"2";"6";"4";"2";"1";"1";"3";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"sao paulo";"3";"3";"15";"4";"2";"2";"3";"3";"2";"1";"2";"2";"3";"0";"2";"2";"2";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"rio de janeiro";"3";"2";"5";"10";"0";"1";"2";"3";"2";"0";"1";"0";"3";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"goias";"0";"1";"3";"0";"3";"0";"1";"1";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"pernambuco";"1";"1";"3";"2";"0";"6";"1";"2";"1";"0";"2";"0";"2";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"rio grande do sul";"2";"3";"4";"3";"1";"1";"8";"2";"0";"0";"1";"0";"2";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"minas gerais";"3";"1";"5";"4";"1";"2";"2";"8";"0";"0";"2";"2";"2";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"rio grande do norte";"0";"1";"2";"2";"0";"1";"0";"0";"4";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maranhao";"0";"0";"2";"1";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"paraiba";"2";"2";"3";"2";"0";"3";"2";"2";"2";"1";"4";"0";"1";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amazonas";"1";"0";"2";"2";"0";"0";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"federal district";"1";"1";"3";"2";"1";"1";"1";"1";"1";"0";"0";"1";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso";"1";"0";"2";"1";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"bahia";"0";"1";"3";"2";"0";"2";"1";"2";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"ceara";"0";"0";"2";"2";"0";"2";"1";"2";"1";"0";"1";"0";"2";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"espirito santo";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"para";"1";"0";"3";"2";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso do sul";"1";"0";"2";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"tocantins";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"piaui";"1";"0";"1";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"acre";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"alagoas";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"sergipe";"0";"0";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"rondonia";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"roraima";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amapa";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
