Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1,"florianopolis,santa catarina,brazil",,florianopolis,santa catarina,brazil,-27.597,-48.549
2,"braga,braga,portugal",,braga,braga,portugal,41.55032,-8.42005
3,"sao paulo,sao paulo,brazil",,sao paulo,sao paulo,brazil,-23.548,-46.636
4,"ottawa,ontario,canada",,ottawa,ontario,canada,45.41117,-75.69812
5,"ithaca,new york,united states",,ithaca,new york,united states,42.44063,-76.49661
6,"lavras,minas gerais,brazil",,lavras,minas gerais,brazil,-21.245,-45
7,"alfenas,minas gerais,brazil",,alfenas,minas gerais,brazil,-21.429,-45.947
8,"londrina,parana,brazil",,londrina,parana,brazil,-23.31,-51.163
9,"rio de janeiro,rio de janeiro,brazil",,rio de janeiro,rio de janeiro,brazil,-22.903,-43.208
10,"uberlandia,minas gerais,brazil",,uberlandia,minas gerais,brazil,-18.919,-48.277
11,"niteroi,rio de janeiro,brazil",,niteroi,rio de janeiro,brazil,-22.883,-43.104
12,"santos,sao paulo,brazil",,santos,sao paulo,brazil,-23.961,-46.334
13,"montevideo,montevideo,uruguay",,montevideo,montevideo,uruguay,-34.90328,-56.18816
14,"bauru,sao paulo,brazil",,bauru,sao paulo,brazil,-22.315,-49.061
15,"curitiba,parana,brazil",,curitiba,parana,brazil,-25.428,-49.273
16,"salamanca,madrid,spain",,salamanca,madrid,spain,40.42972,-3.67975
17,"valladolid,castille and león,spain",,valladolid,castille and león,spain,41.65518,-4.72372
18,"vitoria,espirito santo,brazil",,vitoria,espirito santo,brazil,-20.319,-40.338
19,"brasilia,federal district,brazil",,brasilia,federal district,brazil,-15.78,-47.93
20,"pelotas,rio grande do sul,brazil",,pelotas,rio grande do sul,brazil,-31.772,-52.343
21,"sao leopoldo,rio grande do sul,brazil",,sao leopoldo,rio grande do sul,brazil,-29.76,-51.147
22,"taubate,sao paulo,brazil",,taubate,sao paulo,brazil,-23.026,-45.555
23,"cambridge,massachusetts,united states",,cambridge,massachusetts,united states,42.3751,-71.10561
24,"minneapolis,minnesota,united states",,minneapolis,minnesota,united states,44.97997,-93.26384
25,"tokyo,tōkyō,japan",,tokyo,tōkyō,japan,35.6895,139.69171
26,"vitoria da conquista,bahia,brazil",,vitoria da conquista,bahia,brazil,-14.866,-40.839
27,"ilheus,bahia,brazil",,ilheus,bahia,brazil,-14.789,-39.049
28,"salvador,bahia,brazil",,salvador,bahia,brazil,-12.971,-38.511
29,"belo horizonte,minas gerais,brazil",,belo horizonte,minas gerais,brazil,-19.817,-43.956
30,"belem,para,brazil",,belem,para,brazil,-1.456,-48.504
31,"campinas,sao paulo,brazil",,campinas,sao paulo,brazil,-22.906,-47.061
32,"recife,pernambuco,brazil",,recife,pernambuco,brazil,-8.054,-34.881
33,"vicosa,minas gerais,brazil",,vicosa,minas gerais,brazil,-20.754,-42.882
34,"araras,sao paulo,brazil",,araras,sao paulo,brazil,-22.357,-47.384
35,"guarulhos,sao paulo,brazil",,guarulhos,sao paulo,brazil,-23.463,-46.533
36,"porto alegre,rio grande do sul,brazil",,porto alegre,rio grande do sul,brazil,-30.033,-51.23
37,"cambridge,england,united kingdom",,cambridge,england,united kingdom,52.2,0.11667
38,"los angeles,california,united states",,los angeles,california,united states,34.05223,-118.24368
39,"new york city,new york,united states",,new york city,new york,united states,40.71427,-74.00597
40,"riverside,california,united states",,riverside,california,united states,33.95335,-117.39616
41,"baltimore,maryland,united states",,baltimore,maryland,united states,39.29038,-76.61219
42,"berlin,berlin,germany",,berlin,berlin,germany,52.52437,13.41053
43,"medellin,departamento de antioquia,colombia",,medellin,departamento de antioquia,colombia,6.25184,-75.56359
44,"guarapuava,parana,brazil",,guarapuava,parana,brazil,-25.395,-51.458
45,"santa maria,rio grande do sul,brazil",,santa maria,rio grande do sul,brazil,-29.684,-53.807
46,"new haven,connecticut,united states",,new haven,connecticut,united states,41.30815,-72.92816
47,"ribeirao preto,sao paulo,brazil",,ribeirao preto,sao paulo,brazil,-21.178,-47.81
48,"paris,île-de-france,france",,paris,île-de-france,france,48.85341,2.3488
49,"lorena,sao paulo,brazil",,lorena,sao paulo,brazil,-22.731,-45.125
50,"barcelona,catalonia,spain",,barcelona,catalonia,spain,41.38879,2.15899
51,"palo alto,california,united states",,palo alto,california,united states,37.44188,-122.14302
52,"santiago,santiago,chile",,santiago,santiago,chile,-33.45694,-70.64827
53,"macapa,amapa,brazil",,macapa,amapa,brazil,0.039,-51.066
54,"juiz de fora,minas gerais,brazil",,juiz de fora,minas gerais,brazil,-21.764,-43.35
55,"chatenay malabry,île-de-france,france",,chatenay malabry,île-de-france,france,48.76507,2.26655
56,"seropedica,rio de janeiro,brazil",,seropedica,rio de janeiro,brazil,-22.744,-43.708
57,"madrid,madrid,spain",,madrid,madrid,spain,40.4165,-3.70256
58,"la plata,buenos aires,argentina",,la plata,buenos aires,argentina,-34.92145,-57.95453
59,"joao pessoa,paraiba,brazil",,joao pessoa,paraiba,brazil,-7.115,-34.863
60,"fortaleza,ceara,brazil",,fortaleza,ceara,brazil,-3.717,-38.543
61,"buenos aires,buenos aires f.d.,argentina",,buenos aires,buenos aires f.d.,argentina,-34.61315,-58.37723
62,"rome,latium,italy",,rome,latium,italy,41.89193,12.51133
63,"cuiaba,mato grosso,brazil",,cuiaba,mato grosso,brazil,-15.596,-56.097
64,"cascavel,parana,brazil",,cascavel,parana,brazil,-24.956,-53.455
65,"barretos,sao paulo,brazil",,barretos,sao paulo,brazil,-20.557,-48.568
66,"joliet,illinois,united states",,joliet,illinois,united states,41.52519,-88.0834
67,"albany,new york,united states",,albany,new york,united states,42.65258,-73.75623
68,"campo grande,mato grosso do sul,brazil",,campo grande,mato grosso do sul,brazil,-20.443,-54.646
69,"porto,porto,portugal",,porto,porto,portugal,41.14961,-8.61099
70,"london,england,united kingdom",,london,england,united kingdom,51.50853,-0.12574
71,"goiania,goias,brazil",,goiania,goias,brazil,-16.679,-49.254
72,"maceio,alagoas,brazil",,maceio,alagoas,brazil,-9.666,-35.735
73,"leuven,flanders,belgium",,leuven,flanders,belgium,50.87959,4.70093
74,"wageningen,gelderland,netherlands",,wageningen,gelderland,netherlands,51.97,5.66667
75,"feira de santana,bahia,brazil",,feira de santana,bahia,brazil,-12.267,-38.967
76,"philadelphia,pennsylvania,united states",,philadelphia,pennsylvania,united states,39.95233,-75.16379
77,"natal,rio grande do norte,brazil",,natal,rio grande do norte,brazil,-5.795,-35.209
78,"sheffield,england,united kingdom",,sheffield,england,united kingdom,53.38297,-1.4659
79,"manizales,caldas,colombia",,manizales,caldas,colombia,5.06889,-75.51738
80,"toronto,ontario,canada",,toronto,ontario,canada,43.70011,-79.4163
81,"itajai,santa catarina,brazil",,itajai,santa catarina,brazil,-26.908,-48.662
82,"presidente prudente,sao paulo,brazil",,presidente prudente,sao paulo,brazil,-22.126,-51.389
83,"caxias do sul,rio grande do sul,brazil",,caxias do sul,rio grande do sul,brazil,-29.168,-51.179
84,"iowa city,iowa,united states",,iowa city,iowa,united states,41.66113,-91.53017
85,"sao jose dos campos,sao paulo,brazil",,sao jose dos campos,sao paulo,brazil,-23.179,-45.887
86,"milano,lombardy,italy",,milano,lombardy,italy,45.46427,9.18951
87,"lisbon,lisbon,portugal",,lisbon,lisbon,portugal,38.71667,-9.13333
88,"bento goncalves,rio grande do sul,brazil",,bento goncalves,rio grande do sul,brazil,-29.171,-51.519
89,"boston,massachusetts,united states",,boston,massachusetts,united states,42.35843,-71.05977
90,"denver,colorado,united states",,denver,colorado,united states,39.73915,-104.9847
91,"nottingham,england,united kingdom",,nottingham,england,united kingdom,52.9536,-1.15047
92,"gainesville,florida,united states",,gainesville,florida,united states,29.65163,-82.32483
93,"araraquara,sao paulo,brazil",,araraquara,sao paulo,brazil,-21.794,-48.176
94,"petropolis,rio de janeiro,brazil",,petropolis,rio de janeiro,brazil,-22.505,-43.179
95,"madison,wisconsin,united states",,madison,wisconsin,united states,43.07305,-89.40123
96,"rochester,new york,united states",,rochester,new york,united states,43.15478,-77.61556
97,"duque de caxias,rio de janeiro,brazil",,duque de caxias,rio de janeiro,brazil,-22.786,-43.312
98,"piracicaba,sao paulo,brazil",,piracicaba,sao paulo,brazil,-22.725,-47.649
99,"sao luis,maranhao,brazil",,sao luis,maranhao,brazil,-2.53,-44.303
100,"manaus,amazonas,brazil",,manaus,amazonas,brazil,-3.102,-60.025
101,"edmonton,alberta,canada",,edmonton,alberta,canada,53.55014,-113.46871
102,"new orleans,louisiana,united states",,new orleans,louisiana,united states,29.95465,-90.07507
103,"maringa,parana,brazil",,maringa,parana,brazil,-23.425,-51.939
104,"teresina,piaui,brazil",,teresina,piaui,brazil,-5.089,-42.802
105,"sao jose do rio preto,sao paulo,brazil",,sao jose do rio preto,sao paulo,brazil,-20.82,-49.379
106,"ann arbor,michigan,united states",,ann arbor,michigan,united states,42.27756,-83.74088
107,"rio branco,acre,brazil",,rio branco,acre,brazil,-9.975,-67.81
108,"uberaba,minas gerais,brazil",,uberaba,minas gerais,brazil,-19.748,-47.932
109,"champaign,illinois,united states",,champaign,illinois,united states,40.11642,-88.24338
110,"campo mourao,parana,brazil",,campo mourao,parana,brazil,-24.046,-52.383
111,"pamplona,navarre,spain",,pamplona,navarre,spain,42.81687,-1.64323
112,"sao cristovao,sergipe,brazil",,sao cristovao,sergipe,brazil,-11.015,-37.206
113,"santo andre,sao paulo,brazil",,santo andre,sao paulo,brazil,-23.664,-46.538
114,"franca,sao paulo,brazil",,franca,sao paulo,brazil,-20.539,-47.401
115,"itajuba,minas gerais,brazil",,itajuba,minas gerais,brazil,-22.426,-45.453
116,"sao bernardo do campo,sao paulo,brazil",,sao bernardo do campo,sao paulo,brazil,-23.694,-46.565
117,"ponta grossa,parana,brazil",,ponta grossa,parana,brazil,-25.095,-50.162
118,"cedar rapids,iowa,united states",,cedar rapids,iowa,united states,42.00833,-91.64407
119,"ouro preto,minas gerais,brazil",,ouro preto,minas gerais,brazil,-20.288,-43.508
120,"marilia,sao paulo,brazil",,marilia,sao paulo,brazil,-22.214,-49.946
121,"sao carlos,sao paulo,brazil",,sao carlos,sao paulo,brazil,-22.018,-47.891
122,"reading,england,united kingdom",,reading,england,united kingdom,51.45625,-0.97113
123,"bologna,emilia-romagna,italy",,bologna,emilia-romagna,italy,44.49381,11.33875
124,"washington d c,washington, d.c.,united states",,washington d c,"washington, d.c.",united states,38.89511,-77.03637
125,"mogi das cruzes,sao paulo,brazil",,mogi das cruzes,sao paulo,brazil,-23.523,-46.188
126,"botucatu,sao paulo,brazil",,botucatu,sao paulo,brazil,-22.886,-48.445
127,"santa cruz,california,united states",,santa cruz,california,united states,36.97412,-122.0308
128,"oxford,england,united kingdom",,oxford,england,united kingdom,51.75222,-1.25596
129,"campina grande,paraiba,brazil",,campina grande,paraiba,brazil,-7.231,-35.881
130,"brussels,brussels capital region,belgium",,brussels,brussels capital region,belgium,50.85045,4.34878
131,"edinburgh,scotland,united kingdom",,edinburgh,scotland,united kingdom,55.95206,-3.19648
132,"raleigh,north carolina,united states",,raleigh,north carolina,united states,35.7721,-78.63861
133,"east lansing,michigan,united states",,east lansing,michigan,united states,42.73698,-84.48387
134,"state college,pennsylvania,united states",,state college,pennsylvania,united states,40.79339,-77.86
135,"canoas,rio grande do sul,brazil",,canoas,rio grande do sul,brazil,-29.918,-51.184
136,"waterloo,ontario,canada",,waterloo,ontario,canada,43.4668,-80.51639
137,"glasgow,scotland,united kingdom",,glasgow,scotland,united kingdom,55.86515,-4.25763
138,"porto velho,rondonia,brazil",,porto velho,rondonia,brazil,-8.762,-63.904
139,"skokie,illinois,united states",,skokie,illinois,united states,42.03336,-87.73339
140,"manchester,england,united kingdom",,manchester,england,united kingdom,53.48095,-2.23743
141,"varginha,minas gerais,brazil",,varginha,minas gerais,brazil,-21.551,-45.43
142,"sao goncalo,rio de janeiro,brazil",,sao goncalo,rio de janeiro,brazil,-22.827,-43.054
143,"santiago de compostela,galicia,spain",,santiago de compostela,galicia,spain,42.88052,-8.54569
144,"cordoba,andalusia,spain",,cordoba,andalusia,spain,37.89155,-4.77275
145,"tubarao,santa catarina,brazil",,tubarao,santa catarina,brazil,-28.467,-49.007
146,"rio grande,rio grande do sul,brazil",,rio grande,rio grande do sul,brazil,-32.035,-52.099
147,"jundiai,sao paulo,brazil",,jundiai,sao paulo,brazil,-23.186,-46.884
148,"strasbourg,alsace,france",,strasbourg,alsace,france,48.58392,7.74553
149,"sao joao del rei,minas gerais,brazil",,sao joao del rei,minas gerais,brazil,-21.136,-44.262
150,"braganca paulista,sao paulo,brazil",,braganca paulista,sao paulo,brazil,-22.952,-46.542
151,"pittsburgh,pennsylvania,united states",,pittsburgh,pennsylvania,united states,40.44062,-79.99589
152,"pullman,washington,united states",,pullman,washington,united states,46.73127,-117.17962
153,"providence,rhode island,united states",,providence,rhode island,united states,41.82399,-71.41283
154,"montes claros,minas gerais,brazil",,montes claros,minas gerais,brazil,-16.735,-43.862
155,"vancouver,british columbia,canada",,vancouver,british columbia,canada,49.24966,-123.11934
156,"granada,andalusia,spain",,granada,andalusia,spain,37.18817,-3.60667
157,"evanston,illinois,united states",,evanston,illinois,united states,42.04114,-87.69006
158,"rio claro,sao paulo,brazil",,rio claro,sao paulo,brazil,-22.411,-47.561
159,"ames,iowa,united states",,ames,iowa,united states,42.03471,-93.61994
160,"leeds,england,united kingdom",,leeds,england,united kingdom,53.79648,-1.54785
161,"ijui,rio grande do sul,brazil",,ijui,rio grande do sul,brazil,-28.388,-53.915
162,"saint denis,île-de-france,france",,saint denis,île-de-france,france,48.93333,2.36667
163,"florence,tuscany,italy",,florence,tuscany,italy,43.77925,11.24626
164,"bordeaux,aquitaine,france",,bordeaux,aquitaine,france,44.84044,-0.5805
165,"west lafayette,indiana,united states",,west lafayette,indiana,united states,40.42587,-86.90807
166,"apucarana,parana,brazil",,apucarana,parana,brazil,-23.551,-51.461
167,"cachoeiro de itapemirim,espirito santo,brazil",,cachoeiro de itapemirim,espirito santo,brazil,-20.849,-41.113
168,"south bend,indiana,united states",,south bend,indiana,united states,41.68338,-86.25001
169,"geneva,illinois,united states",,geneva,illinois,united states,41.88753,-88.30535
170,"new brunswick,new jersey,united states",,new brunswick,new jersey,united states,40.48622,-74.45182
171,"college station,texas,united states",,college station,texas,united states,30.62798,-96.33441
172,"santa cruz do sul,rio grande do sul,brazil",,santa cruz do sul,rio grande do sul,brazil,-29.718,-52.426
173,"caratinga,minas gerais,brazil",,caratinga,minas gerais,brazil,-19.79,-42.139
174,"princeton,florida,united states",,princeton,florida,united states,25.53844,-80.40894
175,"austin,texas,united states",,austin,texas,united states,30.26715,-97.74306
176,"paranavai,parana,brazil",,paranavai,parana,brazil,-23.073,-52.465
177,"nashville,tennessee,united states",,nashville,tennessee,united states,36.16589,-86.78444
178,"sydney,new south wales,australia",,sydney,new south wales,australia,-33.86785,151.20732
179,"campos dos goytacazes,rio de janeiro,brazil",,campos dos goytacazes,rio de janeiro,brazil,-21.754,-41.324
180,"sobral,ceara,brazil",,sobral,ceara,brazil,-3.674,-40.239
181,"lima,provincia de lima,peru",,lima,provincia de lima,peru,-12.04318,-77.02824
182,"garca,sao paulo,brazil",,garca,sao paulo,brazil,-22.211,-49.656
183,"tucson,arizona,united states",,tucson,arizona,united states,32.22174,-110.92648
184,"norwich,england,united kingdom",,norwich,england,united kingdom,52.62783,1.29834
185,"garching bei munchen,bavaria,germany",,garching bei munchen,bavaria,germany,48.24896,11.65101
186,"hannover,lower saxony,germany",,hannover,lower saxony,germany,52.37052,9.73322
187,"coventry,england,united kingdom",,coventry,england,united kingdom,52.40656,-1.51217
188,"palmas,parana,brazil",,palmas,parana,brazil,-26.484,-51.991
189,"berkeley,california,united states",,berkeley,california,united states,37.87159,-122.27275
190,"stillwater,oklahoma,united states",,stillwater,oklahoma,united states,36.11561,-97.05837
191,"liverpool,england,united kingdom",,liverpool,england,united kingdom,53.41058,-2.97794
192,"atlanta,georgia,united states",,atlanta,georgia,united states,33.749,-84.38798
193,"logan,utah,united states",,logan,utah,united states,41.73549,-111.83439
194,"cerdanyola del valles,catalonia,spain",,cerdanyola del valles,catalonia,spain,41.49109,2.14079
195,"birmingham,england,united kingdom",,birmingham,england,united kingdom,52.48142,-1.89983
196,"salt lake city,utah,united states",,salt lake city,utah,united states,40.76078,-111.89105
197,"brisbane,queensland,australia",,brisbane,queensland,australia,-27.46794,153.02809
198,"quebec,quebec,canada",,quebec,quebec,canada,46.81228,-71.21454
199,"dourados,mato grosso do sul,brazil",,dourados,mato grosso do sul,brazil,-22.221,-54.806
200,"creteil,île-de-france,france",,creteil,île-de-france,france,48.78333,2.46667
201,"valencia,valencia,spain",,valencia,valencia,spain,39.46975,-0.37739
202,"calgary,alberta,canada",,calgary,alberta,canada,51.05011,-114.08529
203,"sao caetano do sul,sao paulo,brazil",,sao caetano do sul,sao paulo,brazil,-23.623,-46.551
204,"araguaina,tocantins,brazil",,araguaina,tocantins,brazil,-7.191,-48.207
205,"san ignacio,cayo,belize",,san ignacio,cayo,belize,17.15297,-89.08058
206,"bethesda,maryland,united states",,bethesda,maryland,united states,38.98067,-77.10026
207,"boulder,colorado,united states",,boulder,colorado,united states,40.01499,-105.27055
208,"olinda,pernambuco,brazil",,olinda,pernambuco,brazil,-8.009,-34.855
209,"varzea grande,mato grosso,brazil",,varzea grande,mato grosso,brazil,-15.647,-56.133
210,"montreal,quebec,canada",,montreal,quebec,canada,45.50884,-73.58781
211,"nanterre,île-de-france,france",,nanterre,île-de-france,france,48.89198,2.20675
212,"sorocaba,sao paulo,brazil",,sorocaba,sao paulo,brazil,-23.502,-47.458
213,"votuporanga,sao paulo,brazil",,votuporanga,sao paulo,brazil,-20.423,-49.973
214,"copenhagen,capital region,denmark",,copenhagen,capital region,denmark,55.67594,12.56553
215,"heidelberg,baden-württemberg region,germany",,heidelberg,baden-württemberg region,germany,49.40768,8.69079
216,"catanduva,sao paulo,brazil",,catanduva,sao paulo,brazil,-21.138,-48.973
217,"villeurbanne,rhône-alpes,france",,villeurbanne,rhône-alpes,france,45.76667,4.88333
218,"karlsruhe,baden-württemberg region,germany",,karlsruhe,baden-württemberg region,germany,49.00937,8.40444
219,"brighton,england,united kingdom",,brighton,england,united kingdom,50.82838,-0.13947
220,"cali,valle del cauca,colombia",,cali,valle del cauca,colombia,3.43722,-76.5225
221,"governador valadares,minas gerais,brazil",,governador valadares,minas gerais,brazil,-18.851,-41.949
222,"joinville,santa catarina,brazil",,joinville,santa catarina,brazil,-26.304,-48.846
223,"pompeia,sao paulo,brazil",,pompeia,sao paulo,brazil,-22.109,-50.172
224,"leiden,south holland,netherlands",,leiden,south holland,netherlands,52.15833,4.49306
225,"sete lagoas,minas gerais,brazil",,sete lagoas,minas gerais,brazil,-19.466,-44.247
226,"suzano,sao paulo,brazil",,suzano,sao paulo,brazil,-23.543,-46.311
227,"medianeira,parana,brazil",,medianeira,parana,brazil,-25.295,-54.094
228,"vassouras,rio de janeiro,brazil",,vassouras,rio de janeiro,brazil,-22.404,-43.663
229,"santa rita,paraiba,brazil",,santa rita,paraiba,brazil,-7.114,-34.978
230,"ituverava,sao paulo,brazil",,ituverava,sao paulo,brazil,-20.339,-47.781
231,"bucaramanga,santander,colombia",,bucaramanga,santander,colombia,7.12539,-73.1198
232,"sapporo,hokkaidō,japan",,sapporo,hokkaidō,japan,43.06417,141.34695
233,"caruaru,pernambuco,brazil",,caruaru,pernambuco,brazil,-8.283,-35.976
234,"golden,colorado,united states",,golden,colorado,united states,39.75554,-105.2211
235,"osasco,sao paulo,brazil",,osasco,sao paulo,brazil,-23.533,-46.792
236,"cachoeira,bahia,brazil",,cachoeira,bahia,brazil,-12.618,-38.956
237,"belo jardim,pernambuco,brazil",,belo jardim,pernambuco,brazil,-8.336,-36.424
238,"araripina,pernambuco,brazil",,araripina,pernambuco,brazil,-7.576,-40.498
239,"sao jose do rio pardo,sao paulo,brazil",,sao jose do rio pardo,sao paulo,brazil,-21.596,-46.889
240,"london,ontario,canada",,london,ontario,canada,42.98339,-81.23304
241,"sao luis de montes belos,goias,brazil",,sao luis de montes belos,goias,brazil,-16.525,-50.372
242,"colchester,england,united kingdom",,colchester,england,united kingdom,51.88921,0.90421
243,"pirassununga,sao paulo,brazil",,pirassununga,sao paulo,brazil,-21.996,-47.426
244,"bogota,bogota d.c.,colombia",,bogota,bogota d.c.,colombia,4.60971,-74.08175
245,"houston,texas,united states",,houston,texas,united states,29.76328,-95.36327
246,"saint andrews,scotland,united kingdom",,saint andrews,scotland,united kingdom,56.33871,-2.79902
247,"trujillo,la libertad,peru",,trujillo,la libertad,peru,-8.11599,-79.02998
248,"assis chateaubriand,parana,brazil",,assis chateaubriand,parana,brazil,-24.42,-53.521
249,"jau,sao paulo,brazil",,jau,sao paulo,brazil,-22.296,-48.558
250,"umuarama,parana,brazil",,umuarama,parana,brazil,-23.766,-53.325
251,"medford,massachusetts,united states",,medford,massachusetts,united states,42.41843,-71.10616
252,"tres coracoes,minas gerais,brazil",,tres coracoes,minas gerais,brazil,-21.697,-45.253
253,"kyoto,kyōto,japan",,kyoto,kyōto,japan,35.02107,135.75385
254,"padova,veneto,italy",,padova,veneto,italy,45.40797,11.88586
255,"centro habana,ciudad de la habana,cuba",,centro habana,ciudad de la habana,cuba,23.13833,-82.36417
256,"aveiro,aveiro,portugal",,aveiro,aveiro,portugal,40.64427,-8.64554
257,"davis,california,united states",,davis,california,united states,38.54491,-121.74052
258,"valparaiso,valparaíso,chile",,valparaiso,valparaíso,chile,-33.03932,-71.62725
259,"pouso alegre,minas gerais,brazil",,pouso alegre,minas gerais,brazil,-22.23,-45.936
260,"juina,mato grosso,brazil",,juina,mato grosso,brazil,-11.378,-58.741
261,"palmas,tocantins,brazil",,palmas,tocantins,brazil,-10.167,-48.333
262,"diamantina,minas gerais,brazil",,diamantina,minas gerais,brazil,-18.249,-43.6
263,"foz do iguacu,parana,brazil",,foz do iguacu,parana,brazil,-25.548,-54.588
264,"cachoeira do sul,rio grande do sul,brazil",,cachoeira do sul,rio grande do sul,brazil,-30.039,-52.894
265,"petrolina,pernambuco,brazil",,petrolina,pernambuco,brazil,-9.393,-40.508
266,"sao sebastiao,sao paulo,brazil",,sao sebastiao,sao paulo,brazil,-23.76,-45.41
267,"inconfidentes,minas gerais,brazil",,inconfidentes,minas gerais,brazil,-22.317,-46.328
268,"caceres,mato grosso,brazil",,caceres,mato grosso,brazil,-16.071,-57.679
269,"diadema,sao paulo,brazil",,diadema,sao paulo,brazil,-23.686,-46.623
270,"chicago,illinois,united states",,chicago,illinois,united states,41.85003,-87.65005
271,"nilopolis,rio de janeiro,brazil",,nilopolis,rio de janeiro,brazil,-22.808,-43.414
272,"campo limpo paulista,sao paulo,brazil",,campo limpo paulista,sao paulo,brazil,-23.206,-46.784
273,"munster,lower saxony,germany",,munster,lower saxony,germany,52.98569,10.08756
274,"lexington,kentucky,united states",,lexington,kentucky,united states,37.98869,-84.47772
275,"la jolla,california,united states",,la jolla,california,united states,32.84727,-117.2742
276,"santarem,para,brazil",,santarem,para,brazil,-2.443,-54.708
277,"guaruja,sao paulo,brazil",,guaruja,sao paulo,brazil,-23.993,-46.256
278,"aracaju,sergipe,brazil",,aracaju,sergipe,brazil,-10.911,-37.072
279,"nazare paulista,sao paulo,brazil",,nazare paulista,sao paulo,brazil,-23.181,-46.395
280,"eldorado do sul,rio grande do sul,brazil",,eldorado do sul,rio grande do sul,brazil,-30.084,-51.616
281,"americana,sao paulo,brazil",,americana,sao paulo,brazil,-22.739,-47.331
282,"vila velha,espirito santo,brazil",,vila velha,espirito santo,brazil,-20.33,-40.292
283,"itapecerica da serra,sao paulo,brazil",,itapecerica da serra,sao paulo,brazil,-23.717,-46.849
284,"carapicuiba,sao paulo,brazil",,carapicuiba,sao paulo,brazil,-23.523,-46.836
285,"jaboticabal,sao paulo,brazil",,jaboticabal,sao paulo,brazil,-21.255,-48.322
286,"adamantina,sao paulo,brazil",,adamantina,sao paulo,brazil,-21.685,-51.073
287,"canoinhas,santa catarina,brazil",,canoinhas,santa catarina,brazil,-26.177,-50.39
288,"salto,sao paulo,brazil",,salto,sao paulo,brazil,-23.201,-47.287
289,"ivatuba,parana,brazil",,ivatuba,parana,brazil,-23.619,-52.221
290,"chapeco,santa catarina,brazil",,chapeco,santa catarina,brazil,-27.096,-52.618
291,"anapolis,goias,brazil",,anapolis,goias,brazil,-16.327,-48.953
292,"maua,sao paulo,brazil",,maua,sao paulo,brazil,-23.668,-46.461
293,"cruz das almas,bahia,brazil",,cruz das almas,bahia,brazil,-12.67,-39.102
294,"blumenau,santa catarina,brazil",,blumenau,santa catarina,brazil,-26.919,-49.066
295,"taboao da serra,sao paulo,brazil",,taboao da serra,sao paulo,brazil,-23.602,-46.753
296,"seattle,washington,united states",,seattle,washington,united states,47.60621,-122.33207
297,"aberdeen,scotland,united kingdom",,aberdeen,scotland,united kingdom,57.14369,-2.09814
298,"breves,para,brazil",,breves,para,brazil,-1.682,-50.48
299,"melbourne,victoria,australia",,melbourne,victoria,australia,-37.814,144.96332
300,"guanambi,bahia,brazil",,guanambi,bahia,brazil,-14.223,-42.781
301,"criciuma,santa catarina,brazil",,criciuma,santa catarina,brazil,-28.678,-49.37
302,"athens,georgia,united states",,athens,georgia,united states,33.96095,-83.37794
303,"avare,sao paulo,brazil",,avare,sao paulo,brazil,-23.099,-48.926
304,"mossoro,rio grande do norte,brazil",,mossoro,rio grande do norte,brazil,-5.188,-37.344
305,"utrecht,utrecht,netherlands",,utrecht,utrecht,netherlands,52.09083,5.12222
306,"boa vista,roraima,brazil",,boa vista,roraima,brazil,2.82,-60.673
307,"nova iguacu,rio de janeiro,brazil",,nova iguacu,rio de janeiro,brazil,-22.759,-43.451
308,"bebedouro,sao paulo,brazil",,bebedouro,sao paulo,brazil,-20.949,-48.479
309,"pindamonhangaba,sao paulo,brazil",,pindamonhangaba,sao paulo,brazil,-22.924,-45.462
310,"batatais,sao paulo,brazil",,batatais,sao paulo,brazil,-20.891,-47.585
311,"campos gerais,minas gerais,brazil",,campos gerais,minas gerais,brazil,-21.235,-45.759
312,"araxa,minas gerais,brazil",,araxa,minas gerais,brazil,-19.593,-46.941
313,"charqueadas,rio grande do sul,brazil",,charqueadas,rio grande do sul,brazil,-29.955,-51.625
314,"jequie,bahia,brazil",,jequie,bahia,brazil,-13.858,-40.084
315,"saquarema,rio de janeiro,brazil",,saquarema,rio de janeiro,brazil,-22.92,-42.51
316,"cafelandia,sao paulo,brazil",,cafelandia,sao paulo,brazil,-21.803,-49.61
317,"aurora,ceara,brazil",,aurora,ceara,brazil,-6.943,-38.968
318,"maputo,maputo city,mozambique",,maputo,maputo city,mozambique,-25.96553,32.58322
319,"quito,pichincha,ecuador",,quito,pichincha,ecuador,-0.22985,-78.52495
320,"cusco,cusco,peru",,cusco,cusco,peru,-13.52264,-71.96734
321,"borrazopolis,parana,brazil",,borrazopolis,parana,brazil,-23.941,-51.588
322,"sao jose,santa catarina,brazil",,sao jose,santa catarina,brazil,-27.615,-48.628
323,"coimbra,coimbra,portugal",,coimbra,coimbra,portugal,40.20564,-8.41955
324,"fernandopolis,sao paulo,brazil",,fernandopolis,sao paulo,brazil,-20.284,-50.246
325,"peshawar,north-west frontier province,pakistan",,peshawar,north-west frontier province,pakistan,34.008,71.57849
326,"caracas,distrito federal,venezuela",,caracas,distrito federal,venezuela,10.48801,-66.87919
327,"ica,ica,peru",,ica,ica,peru,-14.06777,-75.72861
328,"cornelio procopio,parana,brazil",,cornelio procopio,parana,brazil,-23.181,-50.647
329,"cordoba,córdoba,argentina",,cordoba,córdoba,argentina,-31.4135,-64.18105
